Price,Close,High,Low,Open,Volume,50_DMA,200_DMA,12_EMA,26_EMA,MACD,Signal,RSI
Ticker,META,META,META,META,META,,,,,,,
Date,,,,,,,,,,,,
2024-06-24,497.590087890625,506.4565526889867,492.98231542757276,497.879329189251,13525300,,,496.04299732649315,488.9803261299285,7.062671196564622,7.022186290884422,66.9248437052789
2024-06-25,509.2491760253906,509.3588704025715,494.18911810475925,495.73500529039063,12109800,,,498.07471712632355,490.4817224184813,7.5929947078422515,7.1363479742759885,72.46168203794612
2024-06-26,511.7624816894531,512.4506586561395,503.34480817062513,505.3095975439335,8882300,,,500.1805270591127,492.0580749570718,8.122452102040882,7.333568799828968,65.37275845159027
2024-06-27,518.1854858398438,521.4967099840738,512.5404863257912,512.8895360407101,10121200,,,502.95052071768674,493.99343872616606,8.957081991520681,7.658271438167311,70.07501165923809
2024-06-28,502.88604736328125,520.4993300901835,502.5070478134148,515.7818631585335,15855100,478.455283203125,,502.9406017400859,494.6521504770635,8.28845126302241,7.784307403138332,57.34131096313552
2024-07-01,503.3448181152344,505.2397854135722,491.8652895125617,503.6141232864657,10328200,478.52265869140626,,503.00278887472416,495.29605178359463,7.706737091129526,7.768793340736571,51.8197165725954
2024-07-02,508.1520690917969,509.149423496295,498.12866950132707,499.4352013362723,7739500,479.0992724609375,,503.79498583119687,496.24834936198,7.546636469216878,7.7243619664326335,51.78898402613348
2024-07-03,508.6108703613281,509.92738554938944,504.68129136586316,505.0303715131761,6005600,479.67191040039063,,504.5358911435248,497.164091658228,7.371799485296776,7.653849470205462,51.16225213109472
2024-07-05,538.4816284179688,539.4391106295718,510.246556070779,510.246556070779,21354100,480.55560791015625,,509.75831226267,500.22464993672736,9.533662325942657,8.029812041352901,69.08842426506143
2024-07-08,527.919677734375,541.3739798552638,525.2567583321568,540.9151748824779,14917500,481.2798773193359,,512.5523684890861,502.27613347729385,10.276235011792267,8.479096635440776,61.965016866441815
2024-07-09,528.5978393554688,536.0580308916997,526.7926303012964,532.3379184075122,8753200,483.0563214111328,,515.0209024685296,504.22588946826977,10.795013000259814,8.942279908404583,61.306253854423225
2024-07-10,533.275390625,537.4543077142633,526.9621206539213,529.3856843777168,10983300,484.8882550048828,,517.8292852618328,506.37770436876826,11.451580893064488,9.444140105336565,67.44300225956113
2024-07-11,511.3435974121094,534.0433926014839,507.0250359475886,529.4854758280743,16458300,486.4941772460937,,516.8314871311061,506.74554829790463,10.085938833201453,9.572499850909544,54.557505138213244
2024-07-12,497.5501708984375,506.7457794296081,492.92246243757324,496.4431221547364,19750500,487.87305236816405,,513.8651307876186,506.06440923127747,7.800721556341102,9.218144191995856,51.602784398123084
2024-07-15,494.84735107421875,505.3395081572605,492.06472384159474,497.31081760153563,12539200,489.0181268310547,,510.9393185240186,505.2335160344583,5.705802489560256,8.515675851508735,48.91019494116261
2024-07-16,488.4942321777344,502.6167744833756,484.5048144790846,500.17324396821596,14075800,489.98652099609376,,507.48622831689795,503.99356908210837,3.492659234789585,7.511072528164906,41.39014445255793
2024-07-17,460.7677307128906,477.9023017376505,457.905328571596,477.9023017376505,28076600,490.1955328369141,,500.2987671470507,500.791655128833,-0.4928879817823031,5.910280426175464,32.505290303992
2024-07-18,474.5910949707031,477.97211054275687,463.31101919766354,473.74333764754465,19267200,490.40760803222656,,496.3437406583819,498.8508728948974,-2.507132236515531,4.226797893637265,35.76683572419107
2024-07-19,475.52862548828125,485.4223643535943,474.4514656631318,474.8005457997421,15149400,490.5874200439453,,493.14141524759714,497.1232990129258,-3.981883765328689,2.5850615618440744,40.14372849690892
2024-07-22,486.1105041503906,490.75817907426796,482.61976392504766,485.29266627846886,12023100,490.8919873046875,,492.0597366172577,496.3075364305158,-4.247799813258098,1.2184892868236403,44.21297985209402
2024-07-23,487.3971252441406,493.9098482730073,486.42969025653684,488.54407671929795,9455500,491.16609130859376,,491.3424117906243,495.6475059722658,-4.305094181641493,0.11377259313061361,42.86203975186988
2024-07-24,460.04962158203125,475.03985596857615,459.3614446582769,471.06042192526183,17649700,490.87770202636716,,486.5281363739177,493.0106256470632,-6.482489273145518,-1.2054797801246129,35.90572681403023
2024-07-25,452.21044921875,462.3236067182569,441.4789064419887,462.0343958650566,18240500,490.5957336425781,,481.24849219619955,489.98839035607705,-8.739898159877498,-2.71236345607519,21.289144463560632
2024-07-26,464.46795654296875,468.5271658214887,458.2045721245555,462.97192494204035,14222400,490.4823944091797,,478.6668713264717,488.09798785140237,-9.431116524930644,-4.056114069846281,29.11906191814279
2024-07-29,464.4779052734375,472.70607900562055,463.78972830816224,468.63688647936897,11339600,490.17615966796876,,476.48395347215876,486.3483521048865,-9.864398632727728,-5.217770982422571,28.80595322683665
